city,timestamp,temperature,season
New York,2010-01-01,5.604706560896567,winter
New York,2010-01-02,1.0628823621418073,winter
New York,2010-01-03,-2.6873503597172337,winter
New York,2010-01-04,1.9126783071596374,winter
New York,2010-01-05,0.005360774093303227,winter
New York,2010-01-06,-3.9818326682525114,winter
New York,2010-01-07,-4.750709055493804,winter
New York,2010-01-08,-6.515366158566827,winter
New York,2010-01-09,3.6906353268775427,winter
New York,2010-01-10,-1.783274604739637,winter
New York,2010-01-11,-5.51832924014306,winter
New York,2010-01-12,-1.7361909565646014,winter
New York,2010-01-13,7.17657198415647,winter
New York,2010-01-14,-11.646261333322709,winter
New York,2010-01-15,-2.1174205334786356,winter
New York,2010-01-16,-3.736316429865309,winter
New York,2010-01-17,-0.09288257096255206,winter
New York,2010-01-18,-7.267452156251995,winter
New York,2010-01-19,1.9162867780227337,winter
New York,2010-01-20,-2.1510486422474364,winter
New York,2010-01-21,-1.2232603659163763,winter
New York,2010-01-22,-1.8915607740531177,winter
New York,2010-01-23,-10.414127186099622,winter
New York,2010-01-24,-2.4510010996982206,winter
New York,2010-01-25,3.168747792920273,winter
New York,2010-01-26,4.242238855374916,winter
New York,2010-01-27,-1.3103417442686696,winter
New York,2010-01-28,5.805243287679945,winter
New York,2010-01-29,-5.194860625274554,winter
New York,2010-01-30,1.8080824171002097,winter
New York,2010-01-31,-2.2668685986821284,winter
New York,2010-02-01,-9.551750397194716,winter
New York,2010-02-02,-0.44017979648741423,winter
New York,2010-02-03,-14.493605008891144,winter
New York,2010-02-04,-4.933022148318943,winter
New York,2010-02-05,-2.131305117289389,winter
New York,2010-02-06,5.982536999279285,winter
New York,2010-02-07,4.800997841682066,winter
New York,2010-02-08,1.3299410133108946,winter
New York,2010-02-09,-8.914649235441539,winter
New York,2010-02-10,3.5903758996242576,winter
New York,2010-02-11,-9.240752481690706,winter
New York,2010-02-12,6.219059815824376,winter
New York,2010-02-13,-0.4761254538840036,winter
New York,2010-02-14,-4.025656777304269,winter
New York,2010-02-15,5.850347356312899,winter
New York,2010-02-16,-2.4818489425936234,winter
New York,2010-02-17,-0.27675158408761136,winter
New York,2010-02-18,-1.5821213178293845,winter
New York,2010-02-19,-8.130449652651597,winter
New York,2010-02-20,4.0201728958335075,winter
New York,2010-02-21,1.6087792935671907,winter
New York,2010-02-22,-3.9235319916562386,winter
New York,2010-02-23,0.9249088982431736,winter
New York,2010-02-24,7.871236730157936,winter
New York,2010-02-25,2.7103508561018486,winter
New York,2010-02-26,-7.256187479781763,winter
New York,2010-02-27,2.905059881711687,winter
New York,2010-02-28,-3.5776675470315618,winter
New York,2010-03-01,11.98411055653973,spring
New York,2010-03-02,8.607866851697212,spring
New York,2010-03-03,11.481503832905355,spring
New York,2010-03-04,10.161238591397987,spring
New York,2010-03-05,12.020286496445465,spring
New York,2010-03-06,18.40548284996259,spring
New York,2010-03-07,1.7203741022902825,spring
New York,2010-03-08,7.236690131153974,spring
New York,2010-03-09,13.426306448792015,spring
New York,2010-03-10,8.5640141329603,spring
New York,2010-03-11,13.205352403508384,spring
New York,2010-03-12,4.716028866544643,spring
New York,2010-03-13,6.39675308285598,spring
New York,2010-03-14,12.640197757597866,spring
New York,2010-03-15,7.012669551661313,spring
New York,2010-03-16,8.910318403200401,spring
